                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.52035,                 0.7702,                0.98942,                0.84334,                0.74157,                0.83032,                0.76044,                0.42716,                0.78495,                0.91484,               0.001981,               0.001981,               0.001981
                     84,                0.50591,                0.75812,                0.98411,                0.81576,                0.76036,                0.83219,                0.76104,                0.42889,                0.78065,                0.91754,               0.001882,               0.001882,               0.001882
                     85,                0.51218,                0.74808,                0.98207,                0.82592,                0.75209,                0.83125,                0.76023,                0.42919,                0.77921,                0.91855,               0.001783,               0.001783,               0.001783
                     86,                0.50406,                0.74013,                0.97906,                0.86014,                0.73072,                0.83186,                0.75978,                0.43016,                0.77659,                0.91935,               0.001684,               0.001684,               0.001684
                     87,                0.50684,                0.73843,                0.98108,                0.85452,                0.73605,                 0.8311,                0.76085,                0.42984,                0.77803,                0.91906,               0.001585,               0.001585,               0.001585
                     88,                 0.5006,                0.72288,                0.98121,                0.82581,                0.75672,                0.82995,                0.75978,                0.42886,                 0.7825,                0.91951,               0.001486,               0.001486,               0.001486
                     89,                0.49585,                0.70255,                0.97885,                0.82092,                0.75949,                0.82949,                 0.7591,                0.42728,                0.78466,                0.91812,               0.001387,               0.001387,               0.001387
                     90,                0.49216,                0.70402,                0.97439,                0.82368,                0.75948,                0.82917,                 0.7587,                0.42628,                0.78235,                0.91859,               0.001288,               0.001288,               0.001288
                     91,                0.34931,                0.38334,                0.88338,                0.84261,                 0.7479,                0.82805,                0.75934,                0.42192,                0.78102,                0.91694,               0.001189,               0.001189,               0.001189
                     92,                 0.3393,                0.36601,                0.87957,                0.85057,                0.74591,                0.82714,                0.75772,                0.42049,                0.78118,                0.91742,                0.00109,                0.00109,                0.00109
                     93,                0.33365,                0.35007,                0.87637,                0.84111,                0.74795,                0.82647,                0.75724,                0.42004,                0.78439,                0.91768,               0.000991,               0.000991,               0.000991
                     94,                0.32834,                 0.3426,                0.87384,                0.84975,                0.74239,                0.82668,                0.75764,                0.41988,                0.78322,                 0.9172,               0.000892,               0.000892,               0.000892
                     95,                  0.325,                0.33647,                0.87096,                  0.847,                 0.7434,                0.82654,                 0.7585,                0.41967,                0.78134,                0.91783,               0.000793,               0.000793,               0.000793
                     96,                0.31886,                 0.3205,                 0.8685,                  0.848,                0.74596,                0.82688,                0.75877,                0.41797,                0.78138,                0.91589,               0.000694,               0.000694,               0.000694
                     97,                0.31764,                0.32147,                0.86512,                0.84367,                0.74853,                0.82782,                0.76044,                0.41762,                 0.7814,                0.91541,               0.000595,               0.000595,               0.000595
                     98,                0.31427,                0.31403,                0.86335,                0.83821,                0.75055,                 0.8276,                0.75978,                0.41766,                0.78441,                0.91605,               0.000496,               0.000496,               0.000496
                     99,                0.31187,                0.30955,                0.86428,                0.84627,                0.74193,                0.82688,                0.75943,                0.41652,                0.78526,                0.91531,               0.000397,               0.000397,               0.000397
                    100,                0.30673,                0.30069,                 0.8631,                 0.8528,                  0.738,                0.82682,                0.76029,                0.41497,                0.78432,                0.91436,               0.000298,               0.000298,               0.000298
